('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         673989 function calls (655647 primitive calls) in 1.495 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      160    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1178(get_filename)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      160    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    160/4    0.000    0.000    0.192    0.048 <frozen importlib._bootstrap_external>:989(exec_module)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
      160    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      160    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      159    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      156    0.000    0.000    0.001    0.000 typing.py:175(_type_check)
      155    0.000    0.000    0.000    0.000 enum.py:1292(value)
      141    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
      136    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      136    0.000    0.000    0.000    0.000 css_parser.py:359(__init__)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:385(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
      131    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      130    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      130    0.000    0.000    0.000    0.000 enum.py:942(<lambda>)
      128    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      126    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      126    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
