('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         680476 function calls (662099 primitive calls) in 1.716 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       55    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       58    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
        2    0.000    0.000    0.000    0.000 request.py:2505(getproxies_environment)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      262    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      504    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       53    0.000    0.000    0.000    0.000 _compiler.py:407(_generate_overlap_table)
      259    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      218    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      215    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
      188    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       42    0.000    0.000    0.242    0.006 response.py:1151(_handle_chunk)
        2    0.000    0.000    0.003    0.001 request.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _text.py:1(<module>)
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      315    0.000    0.000    0.000    0.000 socket.py:732(readable)
       41    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      227    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       51    0.000    0.000    0.713    0.014 {method 'readline' of '_io.BufferedReader' objects}
       26    0.000    0.000    0.000    0.000 typing.py:345(_remove_dups_flatten)
        1    0.000    0.000    0.000    0.000 tempfile.py:271(_RandomNameSequence)
       21    0.000    0.000    0.001    0.000 typing.py:1449(__getitem__)
      169    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      329    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
       48    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       54    0.000    0.000    0.000    0.000 typing.py:1147(__init__)
        7    0.000    0.000    0.002    0.000 typing.py:2761(_make_nmtuple)
        3    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      275    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       64    0.000    0.000    0.241    0.004 client.py:633(_safe_read)
        1    0.000    0.000    0.038    0.038 adapters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:45(NoBoundaryInMultipartDefect)
        2    0.000    0.000    0.017    0.008 connection.py:1(<module>)
      425    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
        2    0.000    0.000    0.003    0.001 models.py:1(<module>)
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
      198    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.028    0.028 client.py:1(<module>)
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       42    0.000    0.000    0.008    0.000 response.py:469(_decode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {function socket.close at 0x7da07be97ba0}
        2    0.000    0.000    0.056    0.028 exceptions.py:1(<module>)
      187    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      162    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      630    0.000    0.000    0.000    0.000 ssl.py:1083(_checkClosed)
      200    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        3    0.000    0.000    0.017    0.006 response.py:1(<module>)
       10    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.240    0.240 __init__.py:122(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:522(UnicodeDammit)
       52    0.000    0.000    0.001    0.000 typing.py:885(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
